indic_code,indic_source,indic_lib,indic_cat,icd10,service,add_def,population,age_min,age_max,sex,enceinte,autre,depistage_fait,depistage_resultat,accouchement_assist,accouchement_ptme_type,chirurgie_urgence,traitement_statut
HMIS979,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 0-1 mois- F.),TBD,Consultation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS980,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 0-1 mois- M.),TBD,Consultation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS981,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 1-11 mois- F.),TBD,Consultation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS982,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 1-11 mois- M.),TBD,Consultation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS983,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 1-4 ans- F.),TBD,Consultation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS984,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 1-4 ans- M.),TBD,Consultation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS985,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 15 ans et plus- F.),TBD,Consultation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS986,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 15 ans et plus- M.),TBD,Consultation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS987,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 5-14 ans- F.),TBD,Consultation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS988,Rapport epidemiologique B5b 4eme Partie,Cas lesions traumatiques du thorax,(Non hospitalises- 5-14 ans- M.),TBD,Consultation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS989,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 0-1 mois- F.),TBD,Hospitalisation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS990,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 0-1 mois- M.),TBD,Hospitalisation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS991,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 1-11 mois- F.),TBD,Hospitalisation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS992,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 1-11 mois- M.),TBD,Hospitalisation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS993,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 1-4 ans- F.),TBD,Hospitalisation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS994,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 1-4 ans- M.),TBD,Hospitalisation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS995,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 15 ans et plus- F.),TBD,Hospitalisation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS996,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 15 ans et plus- M.),TBD,Hospitalisation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS997,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 5-14 ans- F.),TBD,Hospitalisation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS998,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Hospitalises- 5-14 ans- M.),TBD,Hospitalisation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS999,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 0-1 mois- F.),TBD,Consultation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1000,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 0-1 mois- M.),TBD,Consultation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1001,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 1-11 mois- F.),TBD,Consultation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1002,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 1-11 mois- M.),TBD,Consultation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1003,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 1-4 ans- F.),TBD,Consultation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1004,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 1-4 ans- M.),TBD,Consultation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1005,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 15 ans et plus- F.),TBD,Consultation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1006,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 15 ans et plus- M.),TBD,Consultation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1007,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 5-14 ans- F.),TBD,Consultation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1008,Rapport epidemiologique B5b 4eme Partie,Cas lithiases urinaires,(Non hospitalises- 5-14 ans- M.),TBD,Consultation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1009,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 0-1 mois- F.),TBD,Hospitalisation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1010,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 0-1 mois- M.),TBD,Hospitalisation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1011,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 1-11 mois- F.),TBD,Hospitalisation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1012,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 1-11 mois- M.),TBD,Hospitalisation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1013,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 1-4 ans- F.),TBD,Hospitalisation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1014,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 1-4 ans- M.),TBD,Hospitalisation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1015,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 15 ans et plus- F.),TBD,Hospitalisation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1016,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 15 ans et plus- M.),TBD,Hospitalisation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1017,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 5-14 ans- F.),TBD,Hospitalisation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1018,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Hospitalises- 5-14 ans- M.),TBD,Hospitalisation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1019,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 0-1 mois- F.),TBD,Consultation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1020,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 0-1 mois- M.),TBD,Consultation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1021,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 1-11 mois- F.),TBD,Consultation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1022,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 1-11 mois- M.),TBD,Consultation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1023,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 1-4 ans- F.),TBD,Consultation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1024,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 1-4 ans- M.),TBD,Consultation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1025,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 15 ans et plus- F.),TBD,Consultation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1026,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 15 ans et plus- M.),TBD,Consultation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1027,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 5-14 ans- F.),TBD,Consultation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1028,Rapport epidemiologique B5b 4eme Partie,Cas maladies des organes genitaux de l'homme,(Non hospitalises- 5-14 ans- M.),TBD,Consultation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1029,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 0-1 mois- F.),TBD,Hospitalisation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1030,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 0-1 mois- M.),TBD,Hospitalisation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1031,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 1-11 mois- F.),TBD,Hospitalisation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1032,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 1-11 mois- M.),TBD,Hospitalisation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1033,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 1-4 ans- F.),TBD,Hospitalisation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1034,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 1-4 ans- M.),TBD,Hospitalisation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1035,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 15 ans et plus- F.),TBD,Hospitalisation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1036,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 15 ans et plus- M.),TBD,Hospitalisation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1037,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 5-14 ans- F.),TBD,Hospitalisation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1038,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Hospitalises- 5-14 ans- M.),TBD,Hospitalisation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1039,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 0-1 mois- F.),TBD,Consultation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1040,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 0-1 mois- M.),TBD,Consultation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1041,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 1-11 mois- F.),TBD,Consultation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1042,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 1-11 mois- M.),TBD,Consultation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1043,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 1-4 ans- F.),TBD,Consultation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1044,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 1-4 ans- M.),TBD,Consultation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1045,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 15 ans et plus- F.),TBD,Consultation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1046,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 15 ans et plus- M.),TBD,Consultation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1047,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 5-14 ans- F.),TBD,Consultation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1048,Rapport epidemiologique B5b 4eme Partie,Cas maladies renales tubulo-interstitielles,(Non hospitalises- 5-14 ans- M.),TBD,Consultation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1049,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 0-1 mois- F.),TBD,Hospitalisation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1050,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 0-1 mois- M.),TBD,Hospitalisation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1051,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 1-11 mois- F.),TBD,Hospitalisation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1052,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 1-11 mois- M.),TBD,Hospitalisation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1053,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 1-4 ans- F.),TBD,Hospitalisation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1054,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 1-4 ans- M.),TBD,Hospitalisation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1055,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 15 ans et plus- F.),TBD,Hospitalisation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1056,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 15 ans et plus- M.),TBD,Hospitalisation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1057,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 5-14 ans- F.),TBD,Hospitalisation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1058,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Hospitalises- 5-14 ans- M.),TBD,Hospitalisation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1059,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 0-1 mois- F.),TBD,Consultation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1060,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 0-1 mois- M.),TBD,Consultation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1061,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 1-11 mois- F.),TBD,Consultation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1062,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 1-11 mois- M.),TBD,Consultation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1063,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 1-4 ans- F.),TBD,Consultation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1064,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 1-4 ans- M.),TBD,Consultation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1065,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 15 ans et plus- F.),TBD,Consultation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1066,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 15 ans et plus- M.),TBD,Consultation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1067,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 5-14 ans- F.),TBD,Consultation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1068,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil circulatoire,(Non hospitalises- 5-14 ans- M.),TBD,Consultation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1069,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 0-1 mois- F.),TBD,Hospitalisation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1070,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 0-1 mois- M.),TBD,Hospitalisation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1071,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 1-11 mois- F.),TBD,Hospitalisation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1072,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 1-11 mois- M.),TBD,Hospitalisation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1073,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 1-4 ans- F.),TBD,Hospitalisation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1074,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 1-4 ans- M.),TBD,Hospitalisation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1075,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 15 ans et plus- F.),TBD,Hospitalisation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1076,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 15 ans et plus- M.),TBD,Hospitalisation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1077,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 5-14 ans- F.),TBD,Hospitalisation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1078,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Hospitalises- 5-14 ans- M.),TBD,Hospitalisation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1079,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 0-1 mois- F.),TBD,Consultation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1080,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 0-1 mois- M.),TBD,Consultation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1081,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 1-11 mois- F.),TBD,Consultation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1082,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 1-11 mois- M.),TBD,Consultation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1083,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 1-4 ans- F.),TBD,Consultation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1084,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 1-4 ans- M.),TBD,Consultation,No,1-4 ans- M,Y1,Y4,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1085,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 15 ans et plus- F.),TBD,Consultation,No,>15 ans- F,Y15,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1086,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 15 ans et plus- M.),TBD,Consultation,No,>15 ans- M,Y15,NA,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1087,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 5-14 ans- F.),TBD,Consultation,No,5-14 ans- F,Y5,Y14,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1088,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil digestif,(Non hospitalises- 5-14 ans- M.),TBD,Consultation,No,5-14 ans- M,Y5,Y14,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1089,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil respiratoire,(Hospitalises- 0-1 mois- F.),TBD,Hospitalisation,No,0-1 mois- F,0,M1,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1090,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil respiratoire,(Hospitalises- 0-1 mois- M.),TBD,Hospitalisation,No,0-1 mois- M,0,M1,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1091,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil respiratoire,(Hospitalises- 1-11 mois- F.),TBD,Hospitalisation,No,1-11 mois- F,M1,M11,F,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1092,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil respiratoire,(Hospitalises- 1-11 mois- M.),TBD,Hospitalisation,No,1-11 mois- M,M1,M11,M,NA,NA,NA,NA,NA,NA,NA,NA
HMIS1093,Rapport epidemiologique B5b 4eme Partie,Cas malformations congenitales de l'appareil respiratoire,(Hospitalises- 1-4 ans- F.),TBD,Hospitalisation,No,1-4 ans- F,Y1,Y4,F,NA,NA,NA,NA,NA,NA,NA,NA
